trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.77594402491128,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.25}",20,0,-26.290420740329708,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.1111111111111111}",20,0,-73.11736851603557,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.0625}",20,0,-51.38356891213716,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.04}",20,6,-48.74652238295015,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.027777777777777776}",20,0,-15.754455943013772,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.02040816326530612}",20,0,18.639488267522708,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.015625}",25,0,2.624728343564844,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.012345679012345678}",25,19,1.357968640314796,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.01}",20,16,6.409422085376336,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.008264462809917356}",25,0,-143.24316409737511,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 4}",0
12,False,"{'a': 0.5, 'e': 0.006944444444444444}",25,2,-20.268648224196653,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.005917159763313609}",20,0,5.295860524673667,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.00510204081632653}",25,0,-52.091718398812326,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.0044444444444444444}",25,3,32.037836271304265,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.00390625}",20,0,1.2007813501698064,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.0034602076124567475}",25,8,3.9331419810639643,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.0030864197530864196}",20,0,28.503977747064553,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.002770083102493075}",20,2,26.619806048617985,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.0025}",20,0,-65.06580943765846,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.0022675736961451248}",20,6,21.892402676704407,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.002066115702479339}",20,0,24.269342027477762,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.001890359168241966}",20,12,13.108436101136927,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
