trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.6666666666666666}",20,0,-25.947760039294934,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.2}",20,0,-115.80868465905307,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.09523809523809523}",20,0,-50.845208226699114,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.05555555555555555}",25,0,-40.61827496855298,"{0: 20, 1: 1, 2: 2, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.03636363636363636}",25,0,-15.98165443827234,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.02564102564102564}",25,0,-74.116631704035,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.01904761904761905}",20,0,15.209160086729256,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.014705882352941176}",20,0,-11.930259070977568,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.011695906432748537}",30,0,3.5464384809816876,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.009523809523809525}",30,0,-4.108311188145328,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.007905138339920948}",25,0,26.06671371213133,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.006666666666666667}",20,0,-43.53082521920922,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.005698005698005698}",20,11,6.930008692642787,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.0049261083743842365}",35,0,33.414845417577766,"{0: 34, 1: 0, 2: 1, 3: 0, 4: 0}",0
