trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-103.18843426922453,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.25}",30,0,-120.0653334441292,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.1111111111111111}",20,0,-51.21322752577938,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.0625}",30,0,0.8755070856417695,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.04}",30,19,-69.15850213971443,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.027777777777777776}",20,0,-27.14263957298249,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.02040816326530612}",25,8,-48.07289410519168,"{0: 13, 1: 2, 2: 0, 3: 1, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.015625}",25,0,-70.59141596299041,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.012345679012345678}",20,0,-60.13861330078105,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.01}",20,0,-20.526496281496893,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.008264462809917356}",20,0,-25.132751992301323,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.006944444444444444}",20,0,-0.8517740085810163,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.005917159763313609}",20,0,15.195312532505046,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.00510204081632653}",20,0,26.60584661741123,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.0044444444444444444}",35,0,-4.311126699362167,"{0: 33, 1: 1, 2: 0, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.00390625}",25,0,21.37177380515926,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.0034602076124567475}",20,0,26.472983449416258,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
