trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 2.0}",20,0,-121.91696120766616,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.3333333333333333}",30,0,-112.07250430671343,"{0: 19, 1: 5, 2: 3, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.13333333333333333}",20,0,-132.8733422827699,"{0: 10, 1: 2, 2: 4, 3: 3, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.07142857142857142}",30,0,-171.29925427882281,"{0: 22, 1: 1, 2: 3, 3: 0, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.044444444444444446}",20,15,-14.224397573172478,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.030303030303030304}",35,0,5.5468085517298285,"{0: 32, 1: 0, 2: 2, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.02197802197802198}",25,12,-31.68821194897172,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.016666666666666666}",30,0,-56.899102107059576,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.013071895424836602}",20,2,-30.09638674369646,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.010526315789473684}",30,0,12.88897531002587,"{0: 27, 1: 2, 2: 1, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.008658008658008658}",20,12,16.652772077203355,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.007246376811594203}",20,0,-43.42850820198951,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.006153846153846154}",20,6,-25.679660648711888,"{0: 12, 1: 0, 2: 0, 3: 2, 4: 0}",1
