trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
14,False,"{'a': 0.5, 'e': 0.005291005291005291}",25,0,34.777028993462636,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.004597701149425287}",25,6,9.617522788162072,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.004032258064516129}",20,3,23.11222881868878,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.0035650623885918}",25,11,16.480257262222352,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.0031746031746031746}",25,0,23.673088388615554,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.002844950213371266}",20,14,10.438025287408408,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.002564102564102564}",35,15,34.469981327102516,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.0023228803716608595}",20,16,9.331352310445391,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.0021141649048625794}",25,5,9.89900687078542,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.001932367149758454}",20,13,6.649737806954648,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.0017730496453900709}",25,0,31.705576498743145,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.0016326530612244899}",25,15,17.140916403336057,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.0015082956259426848}",20,7,17.807817012804787,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.001397624039133473}",20,8,21.189011513271282,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.0012987012987012987}",20,0,23.555210572371532,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.0012099213551119178}",35,17,26.5114429820633,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.0011299435028248588}",20,0,-20.262256109611272,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.0010576414595452142}",20,13,9.813081520110256,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.000992063492063492}",20,14,8.373799333694327,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-17.90272778121106,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,5,22.71299011568951,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,9,16.142543456281338,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,0,32.108554487676365,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,11,11.474611831336317,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",30,0,26.15312283590331,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",25,9,25.397372541437946,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",25,11,21.101611179516,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",25,11,14.440393699043016,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",25,12,-43.12041762869579,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 1}",1
